REF_AREA,TIME_PERIOD,OBS_VALUE,COUNTRY,DATAFLOW,FREQ,TERRITORIAL_LEVEL,,MEASURE,ACTIVITY,PRICES,UNIT_MEASURE,OBS_STATUS,REF_YEAR_PRICE,UNIT_MULT,DECIMALS,CURRENCY
AT111,2016,30141,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT111,2017,32203,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT111,2018,31733,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT111,2019,31801,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT111,2020,30852,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT111,2021,31747,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2000,31048,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2001,31113,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2002,32167,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2003,32559,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2004,34950,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2005,34415,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2006,34724,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2007,35804,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2008,35597,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2009,34688,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2010,35632,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2011,36440,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2012,37971,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2013,38347,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2014,37908,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2015,38258,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2016,38706,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2017,39436,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2018,39770,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2019,40209,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2020,37857,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT112,2021,39015,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2000,25954,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2001,26652,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2002,28093,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2003,27981,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2004,27631,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2005,27452,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2006,27268,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2007,28881,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2008,29201,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2009,28843,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2010,29998,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2011,30582,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2012,30798,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2013,30232,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2014,30829,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2015,31117,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2016,31597,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2017,32797,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2018,33122,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2019,33415,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2020,30945,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT113,2021,32164,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2000,33195,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2001,33330,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2002,32797,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2003,33307,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2004,34259,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2005,34397,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2006,36078,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2007,38008,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2008,38377,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2009,36255,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2010,36429,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2011,37904,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2012,38502,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2013,38219,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2014,38231,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2015,38549,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2016,38950,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2017,41190,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2018,41122,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2019,41907,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2020,39075,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT121,2021,39931,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2000,31471,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2001,32079,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2002,32191,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2003,32551,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2004,33062,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2005,33590,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2006,34178,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2007,36190,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2008,36364,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2009,34231,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2010,35269,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2011,35947,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2012,36422,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2013,36333,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2014,36957,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2015,36636,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2016,36235,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2017,37417,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2018,38361,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2019,38881,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2020,36056,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT122,2021,36569,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2000,42362,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2001,43235,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2002,43800,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2003,45036,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2004,44955,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2005,46071,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2006,47218,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2007,49425,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2008,50276,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2009,49232,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2010,50349,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2011,51279,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2012,51358,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2013,51214,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2014,50500,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2015,52066,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2016,52262,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2017,53202,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2018,52450,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2019,53129,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2020,50908,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT123,2021,51570,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2000,28568,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2001,29378,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2002,29915,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2003,30288,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2004,31358,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2005,30943,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2006,31305,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2007,32425,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2008,33502,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2009,31875,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2010,32821,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2011,33804,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2012,33904,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2013,34135,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2014,34420,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2015,34432,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2016,35148,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2017,35963,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2018,36895,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
AT124,2019,37741,AUT,OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,_Z,GDP,_T,Q,USD_PPP_PS,A,2015,0,0,USD
