DATAFLOW,FREQ,TERRITORIAL_LEVEL,REF_AREA,TERRITORIAL_TYPE,MEASURE,ACTIVITY,PRICES,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,COUNTRY,OBS_STATUS,REF_YEAR_PRICE,UNIT_MULT,DECIMALS,CURRENCY
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,FRC22,_Z,GDP,_T,Q,USD_PPP_PS,2021,31504,FRA,P,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2001,51148,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2002,51295,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2003,51320,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2004,53196,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2005,55064,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2006,57561,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2007,58237,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2008,58583,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2009,54106,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2010,54701,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2011,55621,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2012,56136,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2013,57064,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2014,57881,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2015,58021,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2016,58254,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2017,59270,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2018,60823,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2019,62088,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2020,60455,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2021,63962,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,US042,_Z,GDP,_T,Q,USD_PPP_PS,2022,66260,USA,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2000,33668,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2001,34614,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2002,33929,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2003,36091,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2004,38661,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2005,38074,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2006,40611,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2007,41390,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2008,40824,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2009,38525,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2010,36297,GRC,B,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2011,32181,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2012,29782,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2013,29454,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2014,29962,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2015,29852,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2016,29977,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2017,31205,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2018,32244,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2019,32863,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2020,30249,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,EL307,_Z,GDP,_T,Q,USD_PPP_PS,2021,31251,GRC,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,CH053,_Z,GDP,_T,Q,USD_PPP_PS,2008,43690,CHE,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,CH053,_Z,GDP,_T,Q,USD_PPP_PS,2009,41690,CHE,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,CH053,_Z,GDP,_T,Q,USD_PPP_PS,2010,43409,CHE,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,CH053,_Z,GDP,_T,Q,USD_PPP_PS,2011,44239,CHE,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,CH053,_Z,GDP,_T,Q,USD_PPP_PS,2012,44294,CHE,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,CH053,_Z,GDP,_T,Q,USD_PPP_PS,2013,45399,CHE,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,CH053,_Z,GDP,_T,Q,USD_PPP_PS,2014,46171,CHE,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,CH053,_Z,GDP,_T,Q,USD_PPP_PS,2015,46796,CHE,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,CH053,_Z,GDP,_T,Q,USD_PPP_PS,2016,47010,CHE,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,CH053,_Z,GDP,_T,Q,USD_PPP_PS,2017,46502,CHE,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,CH053,_Z,GDP,_T,Q,USD_PPP_PS,2018,47283,CHE,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,CH053,_Z,GDP,_T,Q,USD_PPP_PS,2019,47912,CHE,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,CH053,_Z,GDP,_T,Q,USD_PPP_PS,2020,50538,CHE,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,CH053,_Z,GDP,_T,Q,USD_PPP_PS,2021,52275,CHE,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2001,31079,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2002,31576,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2003,33193,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2004,33726,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2005,33093,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2006,34288,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2007,34428,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2008,34437,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2009,34261,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2010,36179,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2011,37674,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2012,37259,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2013,39351,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2014,40032,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2015,40343,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2016,40297,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2017,41654,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2018,42344,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2019,42363,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,JPI36,_Z,GDP,_T,Q,USD_PPP_PS,2020,41970,JPN,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,SE332,_Z,GDP,_T,Q,USD_PPP_PS,2000,34244,SWE,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,SE332,_Z,GDP,_T,Q,USD_PPP_PS,2001,35199,SWE,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,SE332,_Z,GDP,_T,Q,USD_PPP_PS,2002,36222,SWE,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,SE332,_Z,GDP,_T,Q,USD_PPP_PS,2003,36786,SWE,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,SE332,_Z,GDP,_T,Q,USD_PPP_PS,2004,39000,SWE,A,2015,0,0,USD
OECD.CFE.EDS:DSD_REG_ECO@DF_GDP(2.0),A,TL3,SE332,_Z,GDP,_T,Q,USD_PPP_PS,2005,41134,SWE,A,2015,0,0,USD
